Index,Index_lunar,Day_of_year,Year,Month,Day_of_month,Moon_illumination,Squidding_time_min,Number_rods,Total_effort_time,Total_effort_squid,Unbiased_stats_effort,Male_effort,Unbiased_male_effort,Female_effort,Unbiased_female_effort,Total_squid,Male,Female,CPUE_total,CPUE_stdYear,Monthly_catch,Monthly_catch_adjusted,CPUE_season,CPUE_male,CPUE_male_stdYear,CPUE_male_seasonal,CPUE_female,CPUE_female_stdYear,CPUE_female_seasonal
0,0,319,2016,11,14,1,240,2,480,34.39380911,33.39380911,25.6684492,24.6684492,8.727272727,7.727272727,2,1,1,0.004166667,0.077160494,177.84,0.099761591,-0.022601097,0.002083333,0.049721559,-0.050040032,0.002083333,0.173611111,0.07384952
59,0,13,2017,1,13,0.98,120,4,480,34.39380911,33.39380911,25.6684492,24.6684492,8.727272727,7.727272727,33,32,1,0.06875,0.937379452,NA,0,0.937379452,0.066666667,0.966183575,0.966183575,0.002083333,0.484496124,0.484496124
826,0,50,2019,2,19,,120,3,360,25.79535684,24.79535684,19.2513369,18.2513369,6.545454545,5.545454545,18,18,0,0.05,1.086956522,NA,0.022,1.064956522,0.05,1.305483029,1.283483029,0,0,-0.022
266,0.5,220,2017,8,8,0.99,135,3,405,29.01977644,28.01977644,21.65775401,20.65775401,7.363636364,6.363636364,53,52,1,0.130864198,1.785323295,2502.91,2.004364434,-0.219041139,0.128395062,1.860797996,-0.143566438,0.002469136,0.574217628,-1.430146806
679,0.5,268,2018,9,25,0.99,90,2,180,12.89767842,11.89767842,9.625668449,8.625668449,3.272727273,2.272727273,7,5,2,0.038888889,0.154320988,NA,0.811,-0.656679012,0.027777778,0.193035287,-0.617964713,0.011111111,0.114784206,-0.696215794
797,0.5,21,2019,1,21,,119.9999995,2,239.999999,17.19690449,16.19690449,12.83422455,11.83422455,4.363636345,3.363636345,4,4,0,0.016666667,0.387096775,NA,0,0.387096775,0.016666667,0.435161011,0.435161011,0,0,0
237,1,191,2017,7,10,0.97,120,2,240,17.19690456,16.19690456,12.8342246,11.8342246,4.363636364,3.363636364,36,29,7,0.15,2.04638472,2634.73,2.109927687,-0.063542966,0.120833333,1.751207729,-0.358719958,0.029166667,6.782945736,4.673018049
31,1.5,350,2016,12,15,0.95,95,2,190,13.61421611,12.61421611,10.16042781,9.160427807,3.454545455,2.454545455,50,41,9,0.263157895,4.873294347,NA,0.237,4.636294347,0.215789474,5.150106771,4.913106771,0.047368421,3.947368421,3.710368421
356,2,310,2017,11,6,0.9,210,3,630,45.14187446,44.14187446,33.68983957,32.68983957,11.45454545,10.45454545,0,0,0,0,0,NA,0.53,-0.53,0,0,-0.53,0,0,-0.53
651,2,240,2018,8,28,0.95,30,3,90,6.448839209,5.448839209,4.812834225,3.812834225,1.636363636,0.636363636,27,22,5,0.3,1.19047619,398.18,0.192896106,0.997580084,0.244444444,1.698710524,1.505814418,0.055555556,0.573921028,0.381024922
917,2.5,141,2019,5,21,,120,3,360,25.79535684,24.79535684,19.2513369,18.2513369,6.545454545,5.545454545,25,24,1,0.069444444,1.509661836,NA,1.584,-0.074338164,0.066666667,1.740644038,0.156644038,0.002777778,0.544662309,-1.039337691
